slug,name,programming_kind,technical,load,overall,recommended_age_min,attention_demand,source,notes
reactive-medicine-ball-target-pass,"Reactive Medicine Ball Target Pass",exercise,5,4,5,9,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
moving-target-medicine-ball-chest-pass,"Moving Target Medicine Ball Chest Pass",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-pivot-catch-and-pass,"Medicine Ball Pivot Catch and Pass",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-over-shoulder-track-and-catch,"Medicine Ball Over-Shoulder Track and Catch",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
partner-trunk-twist-medicine-ball-exchange,"Partner Trunk-Twist Medicine Ball Exchange",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
slam-ball-ground-to-shoulder,"Slam Ball Ground-to-Shoulder",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
slam-ball-bear-hug-squat,"Slam Ball Bear-Hug Squat",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
slam-ball-bear-hug-carry,"Slam Ball Bear-Hug Carry",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
slam-ball-clean-to-front-squat,"Slam Ball Clean to Front Squat",exercise,5,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
slam-ball-sprawl-to-slam,"Slam Ball Sprawl to Slam",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
partner-trunk-twist-med-ball-exchange,"Partner Trunk Twist Med Ball Exchange",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
partner-sit-up-medicine-ball-throw,"Partner Sit-Up Medicine Ball Throw",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
partner-medicine-ball-shot-put-pass,"Partner Medicine Ball Shot-Put Pass",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
partner-lateral-shuffle-med-ball-pass,"Partner Lateral Shuffle Med Ball Pass",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
partner-reactive-med-ball-toss-and-relocate,"Partner Reactive Med Ball Toss and Relocate",exercise,5,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
partner-med-ball-catch-to-decel-stick,"Partner Med Ball Catch-to-Decel Stick",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
two-person-tug-of-war,"Two-Person Tug-of-War",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-towel-row,"Partner Towel Row",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-band-resisted-sprint-start,"Partner Band-Resisted Sprint Start",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
partner-band-resisted-lateral-shuffle,"Partner Band-Resisted Lateral Shuffle",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
partner-push-pull-athletic-stance,"Partner Push-Pull Athletic Stance",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-isometric-split-squat-hand-press,"Partner Isometric Split-Squat Hand Press",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-manual-resistance-hamstring-curl,"Partner Manual-Resistance Hamstring Curl",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-assisted-nordic-hamstring-negative,"Partner-Assisted Nordic Hamstring Negative",exercise,3,3,3,6,low,reviewed,"Workout exercise — load 3/10, technical 3/10"
partner-wheelbarrow-walk,"Partner Wheelbarrow Walk",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-buddy-carry,"Partner Buddy Carry",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-pallof-band-hold,"Partner Pallof Band Hold",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-plank-hand-tap,"Partner Plank Hand Tap",exercise,2,2,2,6,low,reviewed,"Workout exercise — load 2/10, technical 2/10"
partner-dead-bug-hand-press,"Partner Dead Bug Hand Press",exercise,2,2,2,6,low,reviewed,"Workout exercise — load 2/10, technical 2/10"
partner-hollow-body-med-ball-exchange,"Partner Hollow Body Med Ball Exchange",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
partner-single-leg-balance-ball-toss,"Partner Single-Leg Balance Ball Toss",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
partner-chase-sprint-start,"Partner Chase Sprint Start",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
partner-tennis-ball-drop-sprint,"Partner Tennis Ball Drop Sprint",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
partner-reaction-ball-drop-sprint,"Partner Reaction Ball Drop Sprint",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
partner-45-degree-cut-callout-chase,"Partner 45-Degree Cut Callout Chase",exercise,5,1,5,9,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
partner-shadow-defense-drill,"Partner Shadow Defense Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
partner-backpedal-turn-and-go-cue,"Partner Backpedal Turn-and-Go Cue",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
partner-low-level-reactive-agility-box,"Partner Low-Level Reactive Agility Box",exercise,5,1,5,9,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
partner-hand-fighting-footwork,"Partner Hand-Fighting Footwork",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-pummeling-balance-drill,"Partner Pummeling Balance Drill",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-line-push-recovery,"Partner Line Push Recovery",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-grip-fight-lateral-step,"Partner Grip-Fight Lateral Step",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-crawling-mirror,"Partner Crawling Mirror",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-crab-walk-pull,"Partner Crab Walk Pull",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-wheelbarrow-shoulder-tap-crawl,"Partner Wheelbarrow Shoulder-Tap Crawl",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-assisted-turkish-get-up,"Partner-Assisted Turkish Get-Up",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-assisted-inverted-row-hold,"Partner-Assisted Inverted Row Hold",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
partner-assisted-hip-airplane,"Partner-Assisted Hip Airplane",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-front-rack-breathing-squat,"Medicine Ball Front Rack Breathing Squat",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-target-tap,"Wall Ball Target Tap",exercise,2,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 2/10"
wall-ball-squat-to-press-pattern,"Wall Ball Squat-to-Press Pattern",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-catch-and-freeze,"Wall Ball Catch-and-Freeze",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
half-wall-ball-shot,"Half Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
tempo-wall-ball-shot,"Tempo Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-single-rep-reset,"Wall Ball Single-Rep Reset",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
standard-wall-ball-shot,"Standard Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
low-target-wall-ball-accuracy-set,"Low-Target Wall Ball Accuracy Set",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-step-back-reset-shot,"Wall Ball Step-Back Reset Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
light-fast-wall-ball-shot,"Light Fast Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
heavy-wall-ball-power-shot,"Heavy Wall Ball Power Shot",exercise,4,6,6,10,moderate,reviewed,"Workout exercise — load 6/10, technical 4/10"
high-target-wall-ball-shot,"High-Target Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
jumping-wall-ball-shot,"Jumping Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
dip-drive-wall-ball-pop-throw,"Dip-Drive Wall Ball Pop Throw",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
wall-ball-shot-put-throw-to-wall,"Wall Ball Shot-Put Throw to Wall",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
split-stance-wall-ball-power-throw,"Split-Stance Wall Ball Power Throw",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-cluster-set,"Wall Ball Cluster Set",exercise,4,7,7,12,moderate,reviewed,"Workout exercise — load 7/10, technical 4/10"
wall-ball-reactive-target-call,"Wall Ball Reactive Target Call",exercise,5,4,5,9,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
wall-ball-throw-to-sprint-exit,"Wall Ball Throw-to-Sprint Exit",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
rotational-wall-ball-scoop-toss,"Rotational Wall-Ball Scoop Toss",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
side-stance-wall-ball-shot,"Side-Stance Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
half-kneeling-rotational-wall-throw,"Half-Kneeling Rotational Wall Throw",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
tall-kneeling-overhead-wall-throw,"Tall-Kneeling Overhead Wall Throw",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
lateral-shuffle-to-wall-ball-shot,"Lateral Shuffle to Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
lateral-catch-and-throw-wall-ball,"Lateral Catch-and-Throw Wall Ball",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
reverse-lunge-to-wall-ball-shot,"Reverse Lunge to Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
cossack-shift-to-wall-ball-toss,"Cossack Shift to Wall Ball Toss",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
crossover-step-wall-ball-shot,"Crossover Step Wall Ball Shot",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
180-turn-wall-ball-catch-and-throw,"180-Turn Wall Ball Catch-and-Throw",exercise,5,4,5,9,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
wall-ball-emom,"Wall Ball EMOM",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-30-30-intervals,"Wall Ball 30-30 Intervals",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-tabata,"Wall Ball Tabata",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-repetition-ladder,"Wall Ball Repetition Ladder",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-target-cycling,"Wall Ball Target Cycling",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-plus-shuttle-run,"Wall Ball + Shuttle Run",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-plus-bear-hug-carry-shuttle,"Wall Ball + Bear-Hug Carry Shuttle",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
partner-alternating-wall-ball-relay,"Partner Alternating Wall Ball Relay",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-density-block,"Wall Ball Density Block",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-chipper-segment,"Wall Ball Chipper Segment",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-front-squat,"Medicine Ball Front Squat",exercise,5,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
medicine-ball-thruster-no-release,"Medicine Ball Thruster (No Release)",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-clean-to-squat,"Medicine Ball Clean to Squat",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
medicine-ball-squat-clean-to-wall-ball-shot,"Medicine Ball Squat Clean to Wall Ball Shot",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
wall-ball-low-catch-position-hold,"Wall Ball Low-Catch Position Hold",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-ball-overhead-catch-prep,"Wall Ball Overhead Catch Prep",exercise,2,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 2/10"
front-rack-reverse-lunge-with-med-ball,"Front-Rack Reverse Lunge with Med Ball",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
tall-kneeling-chest-pass-to-wall,"Tall-Kneeling Chest Pass to Wall",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
half-kneeling-chest-pass-to-wall,"Half-Kneeling Chest Pass to Wall",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
medicine-ball-dead-bug-pullover,"Medicine Ball Dead Bug Pullover",skill_drill,6,1,6,,moderate,reviewed,"Skill drill — gates on class/athlete level (INTERMEDIATE)"
half-kneeling-t-spine-rotation,"Half-Kneeling T-Spine Rotation",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
spiderman-lunge-with-t-spine-reach,"Spiderman Lunge with T-Spine Reach",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
standing-hip-shoulder-separation-drill,"Standing Hip-Shoulder Separation Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
wall-split-stance-rotation-reach,"Wall Split-Stance Rotation Reach",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
quadruped-thread-the-needle-reach,"Quadruped Thread-the-Needle Reach",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
lateral-lunge-with-reach-across,"Lateral Lunge with Reach Across",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
cossack-shift-with-t-spine-reach,"Cossack Shift with T-Spine Reach",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
band-resisted-hip-turn-drill,"Band-Resisted Hip Turn Drill",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
low-intensity-carioca-grapevine,"Low-Intensity Carioca / Grapevine",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
half-kneeling-pallof-press-iso-hold,"Half-Kneeling Pallof Press Iso Hold",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
split-stance-pallof-press,"Split-Stance Pallof Press",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
anti-rotation-cable-press-out,"Anti-Rotation Cable Press-Out",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
dead-bug-band-pulldown-with-rotation-resist,"Dead Bug Band Pulldown with Rotation Resist",exercise,2,2,2,6,low,reviewed,"Workout exercise — load 2/10, technical 2/10"
side-plank-reach-through-control,"Side Plank Reach-Through Control",exercise,2,2,2,6,low,reviewed,"Workout exercise — load 2/10, technical 2/10"
bird-dog-band-row-anti-rotation,"Bird Dog Band Row Anti-Rotation",exercise,2,2,2,6,low,reviewed,"Workout exercise — load 2/10, technical 2/10"
bear-position-shoulder-tap,"Bear Position Shoulder Tap",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
suitcase-carry-march,"Suitcase Carry March",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
landmine-rotation,"Landmine Rotation",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
split-stance-cable-chop,"Split-Stance Cable Chop",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
rotational-cable-row,"Rotational Cable Row",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
cable-shot-put-press,"Cable Shot-Put Press",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
lateral-lunge-to-rotational-reach,"Lateral Lunge to Rotational Reach",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
suitcase-carry-with-direction-change,"Suitcase Carry with Direction Change",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
med-ball-rotational-scoop-toss,"Med Ball Rotational Scoop Toss",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
med-ball-shot-put-throw,"Med Ball Shot-Put Throw",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
med-ball-shuffle-to-rotation-throw,"Med Ball Shuffle-to-Rotation Throw",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
med-ball-countermovement-rotational-throw,"Med Ball Countermovement Rotational Throw",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
med-ball-slam-to-rotational-throw,"Med Ball Slam to Rotational Throw",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
half-kneeling-rotational-med-ball-throw,"Half-Kneeling Rotational Med Ball Throw",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
med-ball-overhead-to-side-slam,"Med Ball Overhead to Side Slam",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
med-ball-rebound-rotational-catch-and-throw,"Med Ball Rebound Rotational Catch-and-Throw",exercise,5,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
carioca-build-up,"Carioca Build-Up",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
crossover-run-drill,"Crossover Run Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
45-degree-cut-to-stick,"45-Degree Cut to Stick",exercise,5,1,5,9,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
lateral-bound-to-rotational-stick,"Lateral Bound to Rotational Stick",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
90-degree-hop-to-stick,"90-Degree Hop to Stick",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
skater-bound-with-reach,"Skater Bound with Reach",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
pivot-to-sprint-start,"Pivot-to-Sprint Start",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
distance-jump-snap-down-to-stick,"Snap Down to Stick",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
distance-jump-drop-landing-to-stick,"Drop Landing to Stick",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
single-leg-landing-stick,"Single-Leg Landing Stick",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
low-box-step-off-to-horizontal-stick,"Low Box Step-Off to Horizontal Stick",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
distance-jump-ankle-pogo-in-place,"Ankle Pogo in Place",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
forward-backward-line-pogo,"Forward-Backward Line Pogo",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
distance-jump-single-leg-pogo-in-place,"Single-Leg Pogo in Place",exercise,4,3,4,7,low,reviewed,"Workout exercise — load 3/10, technical 4/10"
ankling-walk,"Ankling Walk",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
distance-jump-tibialis-raise,"Tibialis Raise",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
hip-airplane-stick,"Hip Airplane Stick",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
wall-drive-march,"Wall Drive March",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
distance-jump-wall-drive-switch,"Wall Drive Switch",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
a-march-to-projection,"A-March to Projection",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
a-skip-for-approach-rhythm,"A-Skip for Approach Rhythm",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
distance-jump-straight-leg-bound-march,"Straight-Leg Bound March",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
mini-hurdle-wicket-run-in,"Mini-Hurdle Wicket Run-In",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
falling-start-to-10-meters,"Falling Start to 10 Meters",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
three-point-acceleration-build-up,"Three-Point Acceleration Build-Up",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
long-jump-checkmark-run-up,"Long-Jump Checkmark Run-Up",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
penultimate-step-rhythm-drill,"Penultimate Step Rhythm Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
distance-jump-squat-jump-to-stick,"Squat Jump to Stick",exercise,4,2,4,7,low,reviewed,"Workout exercise — load 2/10, technical 4/10"
distance-jump-countermovement-jump-to-stick,"Countermovement Jump to Stick",exercise,4,1,4,7,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
