slug,name,programming_kind,technical,load,overall,recommended_age_min,attention_demand,source,notes
a-march,"A-March",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
arch-body-hold,"Arch Body Hold / Superman Shape",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
hollow-to-arch-roll,"Hollow-to-Arch Roll",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
tuck-hold-rock,"Tuck Hold / Tuck Rock",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
pike-fold-tall-sit,"Pike Fold-to-Tall Sit Drill",skill_drill,3,1,3,,low,reviewed,"Skill drill — gates on class/athlete level (EARLY_STAGE)"
straddle-sit-reach-lift,"Straddle Sit Reach and Lift",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
front-support-shape-hold,"Front Support Shape Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
rear-support-shape-hold,"Rear Support Shape Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
wall-body-line-drill,"Wall Body-Line Drill",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (EARLY_STAGE)"
stick-to-shape-freeze-game,"Stick-to-Shape Freeze Game",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
log-roll,"Log Roll / Pencil Roll",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
egg-roll,"Egg Roll / Tuck Roll Side-to-Side",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
rock-and-roll-to-stand,"Rock-and-Roll to Stand",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
forward-roll-progression,"Forward Roll Progression",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
backward-roll-progression,"Backward Roll Rocker / Backward Roll Progression",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
shoulder-roll-progression,"Shoulder Roll / Safety Roll Progression",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
donkey-kick,"Donkey Kick / Bunny Hop",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
wall-walk-handstand-line,"Wall Walk-Up to Handstand Line",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
handstand-kick-up-wall,"Handstand Kick-Up to Wall or Spot",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
cartwheel-step-over,"Cartwheel Step-Over / Cartwheel Over Panel Mat",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
cartwheel-finish-lunge,"Cartwheel Finish Lunge Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
hurdle-step-lunge,"Hurdle Step to Lunge Shape",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
wall-drill-split-shin-hold,"Wall Drill ISO — Split Shin Angle Hold",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
wall-drill-march,"Wall Drill March",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
wall-drill-switch,"Wall Drill Switch",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
a-skip,"A-Skip",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
ankling-dribble-march,"Ankling / Dribble March",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
straight-leg-bound-march,"Straight-Leg Bound March / Straight-Leg Run Prep",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
falling-start-hold,"Falling Start Position Hold",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
two-point-start-walk-in,"Two-Point Start Walk-In",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
arm-action-drill,"Arm Action Drill — Seated or Standing",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
beam-walk,"Beam Walk / Line Walk",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
single-leg-balance-clock,"Single-Leg Balance Reach Clock",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
cross-crawl-march,"Cross-Crawl March",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
skipping-rhythm-drill,"Skipping Rhythm Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
carioca-walkthrough,"Carioca / Grapevine Walkthrough",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
lateral-shuffle-walkthrough,"Lateral Shuffle Mechanics Walkthrough",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
backpedal-walkthrough,"Backpedal Mechanics Walkthrough",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
ladder-in-in-out-out,"Ladder Rhythm — In-In-Out-Out",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
ladder-ickey-shuffle,"Ladder Rhythm — Ickey Shuffle Walkthrough",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
low-hurdle-step-over,"Low Hurdle Step-Over Series",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
mirror-shuffle-drill,"Mirror Shuffle Drill",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
coach-point-and-go,"Coach Point-and-Go Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
colored-cone-call-out,"Color Cone Call-Out",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
ball-drop-reaction,"Ball Drop Reaction Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
partner-shadow-tag,"Partner Tag / Shadow Tag Boundaries",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
gate-reaction-drill,"Gate Reaction Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
goblet-squat,"Goblet Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
box-squat,"Box Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
front-squat-db-kb-barbell,"Front Squat — DB / KB / Barbell",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
split-squat,"Split Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
rear-foot-elevated-split-squat,"Rear-Foot-Elevated Split Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
reverse-lunge,"Reverse Lunge",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
step-up,"Step-Up",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
lateral-lunge-loaded,"Lateral Lunge — Loaded",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
loaded-cossack-squat,"Loaded Cossack Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
heavy-sled-push-sled-drive-march,"Heavy Sled Push / Sled Drive March",exercise,3,3,3,9,low,reviewed,"Workout exercise — load 3/10, technical 3/10"
kettlebell-deadlift-trap-bar-deadlift,"Kettlebell Deadlift / Trap-Bar Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
romanian-deadlift,"Romanian Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
single-leg-romanian-deadlift,"Single-Leg Romanian Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
hip-thrust-loaded-glute-bridge,"Hip Thrust / Loaded Glute Bridge",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
good-morning-light-technical,"Good Morning — Light / Technical",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
hamstring-slider-curl,"Hamstring Slider Curl",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
nordic-hamstring-eccentric,"Nordic Hamstring Eccentric",exercise,7,1,7,6,moderate,reviewed,"Workout exercise — load 1/10, technical 7/10"
back-extension-hip-extension,"Back Extension / Hip Extension",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
incline-push-up,"Incline Push-Up",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
push-up,"Push-Up",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
tempo-eccentric-push-up,"Tempo / Eccentric Push-Up",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
dumbbell-kettlebell-floor-press,"Dumbbell / Kettlebell Floor Press",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-bench-press,"Dumbbell Bench Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
half-kneeling-single-arm-press,"Half-Kneeling Single-Arm Press",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
pike-push-up-box-pike-push-up,"Pike Push-Up / Box Pike Push-Up",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
dip-support-ring-support-hold,"Dip Support / Ring Support Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
ring-row-trx-row,"Ring Row / TRX Row",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
inverted-row,"Inverted Row",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
one-arm-dumbbell-row,"One-Arm Dumbbell Row",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
band-cable-row,"Band / Cable Row",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
assisted-pull-up,"Assisted Pull-Up",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
eccentric-pull-up-chin-up-negative,"Eccentric Pull-Up / Chin-Up Negative",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
pull-up-chin-up,"Pull-Up / Chin-Up",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
scapular-pull-up,"Scapular Pull-Up",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
dead-hang-active-hang,"Dead Hang / Active Hang",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
rope-climb-foot-lock-pull-towel-pull,"Rope Climb Foot-Lock Pull / Towel Pull",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
farmer-carry,"Farmer Carry",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
suitcase-carry,"Suitcase Carry",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
front-rack-carry,"Front-Rack Carry",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
bear-hug-sandbag-carry,"Bear-Hug Sandbag Carry",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
zercher-carry,"Zercher Carry",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
overhead-carry,"Overhead Carry",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
pallof-press-pallof-hold,"Pallof Press / Pallof Hold",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
tall-kneeling-cable-band-chop,"Tall-Kneeling Cable / Band Chop",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
spanish-squat-isometric,"Spanish Squat Isometric",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
split-squat-isometric-hold,"Split Squat Isometric Hold",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
copenhagen-plank-short-lever,"Copenhagen Plank — Short Lever",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
tibialis-raise,"Tibialis Raise",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
seated-soleus-raise-bent-knee-calf-raise,"Seated Soleus Raise / Bent-Knee Calf Raise",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
wrist-forearm-capacity-series,"Wrist / Forearm Capacity Series",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
drop-squat-to-stick,"Drop Squat to Stick",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
snap-down-to-stick-control-version,"Snap-Down to Stick — Control Version",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
low-box-step-off-to-stick,"Low Box Step-Off to Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
forward-hop-to-stick-low-amplitude,"Forward Hop to Stick — Low Amplitude",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
lateral-hop-to-stick-low-amplitude,"Lateral Hop to Stick — Low Amplitude",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
single-leg-hop-to-stick-low-amplitude,"Single-Leg Hop to Stick — Low Amplitude",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
deceleration-step-down-stop-step-stick,"Deceleration Step-Down / Stop-Step Stick",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
jog-to-stick-linear-deceleration,"Jog-to-Stick Linear Deceleration",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
lateral-shuffle-to-stick,"Lateral Shuffle to Stick",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
backpedal-to-stick,"Backpedal to Stick",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
single-leg-balance-hold-tripod-foot,"Single-Leg Balance Hold — Tripod Foot",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
single-leg-balance-reach-clock-control,"Single-Leg Balance Reach Clock — Control Version",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
y-balance-reach-star-reach,"Y-Balance Reach / Star Reach",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
single-leg-rdl-reach-bodyweight-control,"Single-Leg RDL Reach — Bodyweight Control",exercise,6,1,6,6,moderate,reviewed,"Workout exercise — load 1/10, technical 6/10"
hip-airplane-supported,"Hip Airplane — Supported",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
step-down-to-hover,"Step-Down to Hover",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
lateral-step-down,"Lateral Step-Down",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
single-leg-squat-to-box,"Single-Leg Squat to Box",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
perturbation-single-leg-balance,"Perturbation Single-Leg Balance",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
beam-line-balance-freeze,"Beam / Line Balance Freeze",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
dead-bug-heel-tap-control-progression,"Dead Bug Heel Tap / Dead Bug Progression",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
dead-bug-pullover-band-dead-bug,"Dead Bug Pullover / Band Dead Bug",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
bird-dog-iso-hold,"Bird Dog Iso Hold",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
front-plank-long-lever-plank,"Front Plank / Long-Lever Plank",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
side-plank,"Side Plank",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
bear-plank-hold,"Bear Plank Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
bear-plank-shoulder-tap,"Bear Plank Shoulder Tap",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
plank-pull-through,"Plank Pull-Through",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
pallof-press-iso-hold,"Pallof Press Iso Hold",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
half-kneeling-anti-rotation-press-lift-hold,"Half-Kneeling Anti-Rotation Press / Lift Hold",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
quadruped-scapular-push-up-hold,"Quadruped Scapular Push-Up Hold",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
prone-y-t-w-isometric-series,"Prone Y-T-W Isometric Series",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
tall-plank-shoulder-tap,"Tall Plank Shoulder Tap",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
slow-bear-crawl,"Slow Bear Crawl",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
crab-reverse-tabletop-hold,"Crab / Reverse Tabletop Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
wall-handstand-line-hold,"Wall Handstand Line Hold",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (INTERMEDIATE)"
wall-handstand-shoulder-shrug,"Wall Handstand Shoulder Shrug",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (INTERMEDIATE)"
wall-walk-negative-controlled-wall-walk-down,"Wall Walk Negative / Controlled Wall Walk-Down",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
ring-support-hold-assisted-control,"Ring Support Hold — Assisted / Control Version",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
wrist-lean-isometric-wrist-support-rock-hold,"Wrist Lean Isometric / Wrist Support Rock Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
split-squat-eccentric-to-pause,"Split Squat Eccentric to Pause",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
isometric-lateral-lunge-hold,"Isometric Lateral Lunge Hold",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
cossack-bottom-hold-cossack-shift-hold,"Cossack Bottom Hold / Cossack Shift Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
adductor-squeeze-bridge-hold,"Adductor Squeeze Bridge Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
hamstring-bridge-iso-long-lever-bridge-hold,"Hamstring Bridge ISO / Long-Lever Bridge Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
slider-hamstring-eccentric-slow-lower,"Slider Hamstring Eccentric — Slow Lower",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
calf-isometric-hold-straight-knee,"Calf Isometric Hold — Straight-Knee",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
soleus-isometric-hold-bent-knee,"Soleus Isometric Hold — Bent-Knee",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
tibialis-iso-toe-up-hold,"Tibialis ISO Toe-Up Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
